"","original_title","id","actorRank","Director","runtime","ProductionBudget","DomesticGross","release_date","quarter","drama","thriller","nonfiction","action","amusement","earnings_percent","Success_2_to_1"
"102","sorority boys",6020,3,"wallace wolodarsky",93,1.2e+07,10198766,"2002-03-22","Q1",0,0,0,0,1,-0.150102833333333,0
"103","les triplettes de belleville",9662,3,"sylvain chomet",80,2e+06,7301288,"2003-06-11","Q4",1,0,0,1,1,2.650644,1
"104","live by night",259695,1,"ben affleck",129,6.5e+07,10378555,"2016-12-25","Q4",1,0,0,0,0,-0.840329923076923,0
"105","reindeer games",2155,1,"john frankenheimer",124,3.6e+07,23360779,"2000-02-25","Q1",0,1,0,0,0,-0.351089472222222,0
"106","he s just not that into you",10184,1,"ken kwapis",129,4e+07,93953653,"2009-02-06","Q1",1,0,0,0,1,1.348841325,1
"107","gigli",8046,1,"martin brest",121,5.4e+07,6087542,"2003-08-01","Q3",1,0,0,0,0,-0.887267740740741,0
"108","gone girl",210577,1,"david fincher",145,6.1e+07,167767189,"2014-10-01","Q4",1,1,0,0,0,1.75028178688525,1
"109","daredevil",9480,1,"mark steven johnson",103,8e+07,102543518,"2003-02-14","Q1",1,1,0,1,1,0.281793975,0
"110","argo",68734,1,"ben affleck",120,44500000,136025503,"2012-10-11","Q4",1,1,0,0,0,2.05675287640449,1
"111","runner runner",146238,1,"brad furman",91,3e+07,19316646,"2013-09-24","Q3",1,1,0,0,0,-0.3561118,0
"112","the fifth estate",162903,3,"bill condon",128,2.6e+07,3254172,"2013-10-11","Q4",1,1,0,0,0,-0.874839538461539,0
"113","escobar paradise lost",255343,3,"andrea di stefano",120,1.7e+07,195792,"2014-10-11","Q1",1,1,0,0,0,-0.988482823529412,0
"114","the way of the gun",1619,3,"christopher mcquarrie",119,9e+06,6047856,"2000-09-08","Q3",1,1,0,1,0,-0.328016,0
"115","zoolander",9398,1,"ben stiller",89,2.8e+07,45172250,"2001-09-28","Q3",0,0,0,0,1,0.613294642857143,0
"116","while we re young",252512,1,"noah baumbach",97,1e+07,7582065,"2015-04-03","Q1",1,1,0,0,1,-0.2417935,0
"117","duplex",7288,1,"danny devito",89,4e+07,9652000,"2003-09-26","Q3",0,1,0,1,1,-0.7587,0
"118","meet the parents",1597,1,"jay roach",108,5.5e+07,166225040,"2000-10-06","Q4",1,0,0,0,1,2.02227345454545,1
"119","the broken hearts club a romantic comedy",22597,3,"greg berlanti",94,1e+06,1744858,"2000-02-01","Q3",1,0,0,0,1,0.744858,0
"120","20 feet from stardom",159014,1,"morgan neville",89,1e+06,4946250,"2013-06-14","Q2",0,0,1,0,0,3.94625,1
"121","cloudy with a chance of meatballs 2",109451,3,"cody cameron",95,7.8e+07,119793567,"2013-09-26","Q3",0,0,0,0,1,0.535814961538462,0
"122","religulous",13007,3,"larry charles",101,2500000,13011160,"2008-10-01","Q4",0,0,1,0,1,4.204464,1
"123","rock the kasbah",253414,1,"barry levinson",100,1.5e+07,3020665,"2015-10-22","Q4",0,0,1,1,1,-0.798622333333333,0
"124","frailty",12149,1,"bill paxton",100,1.1e+07,13110448,"2001-11-17","Q2",1,1,0,0,0,0.191858909090909,0
"125","bad santa 2",338964,3,"mark waters",87,2.6e+07,17782176,"2016-11-23","Q4",1,0,0,0,1,-0.316070153846154,0
