"","original_title","id","actorRank","Director","runtime","ProductionBudget","DomesticGross","release_date","quarter","drama","thriller","nonfiction","action","amusement","earnings_percent","Success_2_to_1"
"634","civil brand",30246,3,"neema barnette",95,5e+05,254293,"2003-08-29","Q3",1,1,0,0,0,-0.491414,0
"635","chacun sa nuit",12838,3,"jean marc barr",95,1900000,18435,"2006-07-21","Q2",1,0,0,0,0,-0.990297368421053,0
"636","the green inferno",171424,3,"eli roth",100,1e+06,7192291,"2014-09-04","Q3",0,1,0,1,1,6.192291,1
"637","no se aceptan devoluciones",211954,3,"eugenio derbez",115,5e+06,44467206,"2013-07-20","Q3",1,0,0,0,1,7.8934412,1
"638","a street cat named bob",404378,3,"roger spottiswoode",103,8e+06,82703,"2016-11-04","Q4",1,0,0,0,1,-0.989662125,0
"639","old school",11635,3,"todd phillips",91,2.4e+07,75155000,"2003-02-21","Q1",0,0,0,0,1,2.13145833333333,1
"640","rock dog",333667,3,"ash brannon",90,6e+07,9420546,"2016-07-08","Q3",0,0,1,1,1,-0.8429909,0
"641","blue ruin",188166,3,"jeremy saulnier",90,420000,258384,"2014-04-25","Q2",1,1,0,0,0,-0.3848,0
"642","queen of katwe",317557,3,"mira nair",124,1.5e+07,8874389,"2016-09-23","Q3",1,0,0,0,0,-0.408374066666667,0
"643","the next best thing",1831,1,"john schlesinger",108,2.5e+07,14983572,"2000-03-03","Q1",0,0,0,0,1,-0.40065712,0
"644","the duff",272693,3,"ari sandel",100,8500000,34030343,"2015-02-20","Q1",1,0,0,0,1,3.00356976470588,1
"645","clean",39851,3,"olivier assayas",111,10000,138711,"2004-09-01","Q2",1,0,0,0,0,12.8711,1
"646","nancy drew",109797,3,"james frawley",87,2e+07,25584685,"2002-12-15","Q2",1,1,0,0,0,0.27923425,0
"647","the lady in the van",328589,3,"nicholas hytner",104,6e+06,10021175,"2015-11-13","Q4",1,0,0,0,1,0.670195833333333,0
"648","it follows",270303,3,"david robert mitchell",100,2e+06,14674077,"2015-02-04","Q1",0,1,0,0,0,6.3370385,1
"649","the black hole",316784,3,"mark steven grove",111,2e+07,35841901,"2015-05-26","Q4",0,1,0,0,1,0.79209505,0
"650","how to deal",17403,2,"clare kilner",99,1.6e+07,14108518,"2003-07-18","Q3",1,0,0,0,1,-0.118217625,0
"651","hawaii",199851,3,"marco berger",106,1.5e+07,34562222,"2013-04-12","Q4",1,0,0,0,0,1.30414813333333,1
"652","thr3e",13569,3,"robby henson",101,2400000,1008849,"2006-12-01","Q1",1,1,0,0,0,-0.57964625,0
"653","blue car",46989,3,"karen moncrieff",92,1e+06,464126,"2002-01-11","Q2",1,0,0,0,0,-0.535874,0
"654","nannerl la soeur de mozart",62116,3,"rené féret",120,4500000,707885,"2010-06-09","Q3",1,0,0,0,0,-0.842692222222222,0
"655","in her line of fire",56491,3,"brian trenchard smith",88,1e+06,884,"2006-04-21","Q2",0,1,0,1,0,-0.999116,0
"656","sparrows dance",136466,3,"noah buschel",81,175000,2602,"2013-08-23","Q3",1,0,0,0,1,-0.985131428571429,0
"657","i love your work",25428,3,"adam goldberg",111,1600000,3264,"2003-10-05","Q4",1,1,0,0,0,-0.99796,0
"658","the puffy chair",24055,3,"jay duplass",85,15000,194523,"2005-01-17","Q2",1,0,0,0,1,11.9682,1
"659","23 blast",295588,3,"dylan baker",98,1e+06,549185,"2014-10-24","Q4",1,0,0,0,0,-0.450815,0
"660","begin again",198277,3,"john carney",104,8e+06,16170632,"2013-09-07","Q2",1,0,1,0,1,1.021329,1
"661","rocknrolla",13809,3,"guy ritchie",114,1.8e+07,5700626,"2008-09-04","Q4",1,1,0,1,0,-0.683298555555556,0
"662","the yards",19457,1,"james gray",115,2e+07,882710,"2000-04-27","Q4",1,1,0,1,0,-0.9558645,0
"663","lone survivor",193756,1,"peter berg",121,4e+07,125095601,"2013-12-24","Q4",1,1,1,1,0,2.127390025,1
"664","fifty shades of black",351819,3,"michael tiddes",92,5e+06,11686940,"2016-01-28","Q1",1,0,0,0,1,1.337388,1
"665","you got served",14114,3,"chris stokes",95,8e+06,40066497,"2004-01-30","Q1",1,0,0,0,0,4.008312125,1
"666","lovely still",51384,3,"nicholas fackler",92,5e+06,127564,"2008-01-01","Q3",1,0,0,0,0,-0.9744872,0
"667","big momma s house",9600,3,"raja gosnell",98,3.3e+07,117559438,"2000-05-31","Q2",1,0,0,0,1,2.56240721212121,1
"668","black knight",11469,3,"gil junger",95,3.5e+07,33422806,"2001-11-21","Q4",0,0,0,1,1,-0.0450626857142857,0
"669","martin lawrence live runteldat",20337,3,"martin lawrence",113,3e+06,19184820,"2002-08-01","Q3",0,0,0,0,1,5.39494,1
"670","open season",7484,3,"jill culton",83,8.5e+07,85105259,"2006-09-29","Q3",0,0,0,1,1,0.00123834117647059,0
"671","welcome home roscoe jenkins",13490,3,"malcolm d lee",114,27500000,42436517,"2008-02-08","Q1",1,0,0,0,1,0.543146072727273,0
"672","who killed the electric car ",13508,3,"chris paine",92,1e+06,1678874,"2006-08-04","Q2",0,0,1,0,0,0.678874,0
"673","scoop ",409550,3,"hitoshi ohne",119,4e+06,10525717,"2016-10-01","Q3",1,1,0,0,0,1.63142925,1
"674","la chambre bleue",266034,3,"mathieu amalric",75,1400000,260441,"2014-05-16","Q2",1,1,0,0,0,-0.813970714285714,0
"675","the virginity hit",42889,3,"huck botko",120,2e+06,636706,"2010-09-10","Q3",0,0,0,0,1,-0.681647,0
"676","all the pretty horses",21355,1,"billy bob thornton",117,4.5e+07,15527125,"2000-12-11","Q4",1,0,0,1,0,-0.654952777777778,0
"677","spirit stallion of the cimarron",9023,1,"kelly asbury",83,8e+07,73215310,"2002-05-24","Q2",0,0,0,1,1,-0.084808625,0
"678","hereafter",44603,1,"clint eastwood",129,5e+07,32746941,"2010-10-15","Q4",1,0,0,0,1,-0.34506118,0
"679","city of ghosts",31932,2,"matt dillon",116,17500000,325491,"2002-01-01","Q2",0,1,0,0,0,-0.981400514285714,0
"680","the last shot",26486,1,"jeff nathanson",90,4e+07,463730,"2004-09-24","Q3",0,0,0,1,1,-0.98840675,0
"681","death at a funeral",2196,3,"frank oz",90,2e+07,8580428,"2007-02-09","Q3",1,0,0,0,1,-0.5709786,0
"682","sing",335797,1,"garth jennings",108,7.5e+07,270329045,"2016-11-23","Q4",1,0,1,0,1,2.60438726666667,1
"683","u 571",3536,1,"jonathan mostow",116,6.2e+07,77086030,"2000-04-20","Q2",1,1,1,1,0,0.243323064516129,0
"684","all the queen s men",31668,3,"stefan ruzowitzky",99,1.5e+07,22723,"2001-10-14","Q4",1,0,1,1,1,-0.998485133333333,0
"685","lovesick",319389,3,"luke matheny",100,10100000,10143618,"2014-04-24","Q1",1,0,0,0,1,0.00431861386138614,0
"686","hanging up",10385,1,"diane keaton",94,4e+07,36037909,"2000-02-16","Q1",1,0,0,0,1,-0.099052275,0
"687","cecil b demented",14195,3,"john waters",87,1e+07,1276984,"2000-05-17","Q3",1,1,0,0,1,-0.8723016,0
"688","we were soldiers",10590,1,"randall wallace",138,7e+07,78120196,"2002-03-01","Q1",0,0,1,1,0,0.1160028,0
"689","spy",238713,3,"paul feig",120,6.5e+07,110825712,"2015-05-06","Q2",1,0,0,1,1,0.705010953846154,0
"690","hits",242083,3,"david cross",96,1e+06,15156,"2014-01-21","Q1",1,0,0,0,1,-0.984844,0
"691","ricki and the flash",275601,1,"jonathan demme",100,1.8e+07,26839498,"2015-07-10","Q3",1,0,1,0,1,0.491083222222222,0
"692","august osage county",152737,1,"john wells",121,2.5e+07,37738810,"2013-12-26","Q4",1,0,0,0,1,0.5095524,0
"693","crimson peak",201085,2,"guillermo del toro",119,5.5e+07,31090320,"2015-10-13","Q4",1,1,0,0,1,-0.434721454545455,0
"694","gentlemen broncos",22820,3,"jared hess",89,9500000,115155,"2009-09-30","Q4",0,1,0,1,1,-0.987878421052632,0
"695","fruitvale station",157354,3,"ryan coogler",85,9e+05,16098998,"2013-07-25","Q3",1,0,0,0,0,16.8877755555556,1
"696","youth",310593,1,"paolo sorrentino",118,1.3e+07,2703296,"2015-05-20","Q2",1,0,0,0,1,-0.792054153846154,0
"697","last orders",14778,1,"fred schepisi",109,1.2e+07,2326407,"2001-09-10","Q1",1,0,0,0,1,-0.80613275,0
"698","secondhand lions",13156,1,"tim mccanlies",111,3e+07,42070939,"2003-09-19","Q3",1,0,0,0,1,0.402364633333333,0
"699","redemption road",74457,1,"mario van peebles",91,2300000,29384,"2011-08-26","Q3",1,0,0,0,0,-0.987224347826087,0
"700","and so it goes",253235,1,"rob reiner",94,1.8e+07,15160801,"2014-07-20","Q3",1,0,0,0,1,-0.157733277777778,0
"701","traffic",1900,1,"steven soderbergh",147,4.8e+07,124107476,"2000-12-27","Q4",1,1,0,0,0,1.58557241666667,1
"702","wonder boys",11004,1,"curtis hanson",111,3.5e+07,19389454,"2000-02-22","Q1",1,0,0,0,1,-0.4460156,0
"703","the perfect guy",304372,3,"david m rosenthal",100,1.8e+07,57027435,"2015-09-11","Q3",1,1,0,0,0,2.16819083333333,1
"704","alien covenant",126889,3,"ridley scott",122,9.7e+07,74262031,"2017-05-09","Q2",0,1,0,0,1,-0.234412051546392,0
"705","slow west",223485,3,"john maclean",84,3750000,229094,"2015-04-16","Q2",1,1,0,1,0,-0.938908266666667,0
"706","being julia",18701,3,"istván szabó",104,1.8e+07,7739049,"2004-09-03","Q4",1,0,0,0,1,-0.570052833333333,0
"707","michael jackson s this is it",13576,3,"kenny ortega",111,6e+07,72091016,"2009-10-28","Q4",0,0,1,0,0,0.201516933333333,0
"708","falcon rising",270938,2,"ernie barbarash",103,4500000,11774,"2014-09-05","Q3",0,0,0,1,1,-0.997383555555556,0
"709","atlantis the lost empire",10865,3,"gary trousdale",95,9e+07,84052762,"2001-06-02","Q2",0,0,0,1,1,-0.0660804222222222,0
"710","vice",14252,3,"raul inglis",99,6e+07,47836282,"2008-01-01","Q4",0,1,0,1,0,-0.202728633333333,0
"711","bowling for columbine",1430,3,"michael moore",120,3e+06,21576018,"2002-10-09","Q4",0,0,1,0,0,6.192006,1
"712","capitalism a love story",22074,3,"michael moore",120,2e+07,14363397,"2009-09-06","Q3",0,0,1,0,0,-0.28183015,0
"713","tusk",246403,3,"kevin smith",102,3e+06,1821983,"2014-09-19","Q3",0,1,0,0,1,-0.392672333333333,0
"714","chips",417644,3,"dax shepard",100,2.5e+07,18600152,"2017-03-23","Q1",1,0,0,1,1,-0.25599392,0
"715","food inc ",18570,3,"robert kenner",94,1e+06,4417674,"2008-09-07","Q2",0,0,1,0,0,3.417674,1
"716","revolution 9",326890,3,"tim mccann",90,350000,9118,"2002-11-15","Q4",1,0,0,0,0,-0.973948571428571,0
"717","midnight special",245703,2,"jeff nichols",112,1.8e+07,3712282,"2016-02-18","Q1",1,0,0,1,1,-0.793762111111111,0
"718","the missing person",35219,2,"noah buschel",95,2e+06,17896,"2009-01-16","Q4",1,1,0,0,1,-0.991052,0
"719","the iceman",68812,2,"ariel vromen",105,1e+07,1930282,"2012-09-01","Q2",1,1,0,0,0,-0.8069718,0
"720","the best of me",239571,1,"michael hoffman",117,2.6e+07,26766213,"2014-10-16","Q4",1,0,0,0,0,0.0294697307692308,0
"721","trucker",29406,1,"james mottern",90,1500000,52429,"2008-04-24","Q4",1,0,0,0,0,-0.965047333333333,0
"722","sin city a dame to kill for",189,3,"robert rodriguez",102,6.5e+07,13757804,"2014-08-20","Q3",1,1,0,0,0,-0.788341476923077,0
"723","who s your caddy ",15581,3,"don michael paul",93,7e+06,5694308,"2007-07-27","Q3",0,0,0,0,1,-0.186527428571429,0
"724","juwanna mann",35696,3,"jesse vaughan",91,15600000,13571817,"2002-06-21","Q2",1,0,0,0,1,-0.130011730769231,0
"725","meet the blacks",377587,3,"deon taylor",90,9e+05,9097072,"2016-04-01","Q2",0,1,0,0,1,9.10785777777778,1
"726","austin powers in goldmember",818,1,"jay roach",94,6.3e+07,213117789,"2002-07-26","Q3",1,0,0,0,1,2.38282204761905,1
"727","the case for christ",424998,3,"jon gunn",112,3e+06,14678714,"2017-04-07","Q2",1,0,0,0,0,3.89290466666667,1
"728","bad moms",376659,1,"jon lucas",100,2e+07,113257297,"2016-07-28","Q3",0,0,0,0,1,4.66286485,1
"729","bleed for this",332979,3,"ben younger",116,1.6e+07,5083906,"2016-11-04","Q4",1,0,0,0,0,-0.682255875,0
"730","war dogs",308266,3,"todd phillips",114,5e+07,43034523,"2016-08-17","Q3",1,0,0,0,1,-0.13930954,0
"731","resident evil",1576,2,"paul w s anderson",100,3.5e+07,40119709,"2002-03-15","Q1",0,1,0,1,1,0.1462774,0
"732","resident evil retribution",71679,2,"paul w s anderson",95,6.5e+07,42345531,"2012-09-12","Q3",0,1,0,1,1,-0.348530292307692,0
"733","the three musketeers",52451,2,"paul w s anderson",110,9e+07,20377913,"2011-08-31","Q4",0,1,0,1,1,-0.773578744444444,0
"734","resident evil the final chapter",173897,2,"paul w s anderson",107,4e+07,26844692,"2016-12-23","Q4",0,1,0,1,1,-0.3288827,0
"735","beautiful",34299,3,"sally field",112,9e+06,3134509,"2000-09-10","Q3",0,0,0,0,1,-0.651721222222222,0
"736","slow burn",158431,3,"christian ford",97,15500000,1237615,"2000-09-12","Q2",0,1,0,1,1,-0.920153870967742,0
"737","the covenant",432364,3,"robert conway",90,2e+07,23364784,"2017-02-07","Q3",0,1,0,0,0,0.1682392,0
"738","head over heels",24940,3,"mark waters",86,1.4e+07,10397365,"2001-02-02","Q1",1,0,0,0,1,-0.257331071428571,0
"739","phat girlz",30139,3,"nnegest likké",99,3e+06,7061128,"2006-01-01","Q2",1,0,0,0,1,1.35370933333333,1
"740","dolphin tale",62837,1,"charles martin smith",113,3.7e+07,72286779,"2011-09-23","Q3",1,0,0,0,1,0.95369672972973,0
"741","invictus",22954,1,"clint eastwood",134,6e+07,37491364,"2009-12-10","Q4",1,0,1,0,0,-0.375143933333333,0
"742","going in style",353070,1,"zach braff",96,2.4e+07,45018541,"2017-04-06","Q2",1,0,0,0,1,0.875772541666667,0
"743","super size me",9372,3,"morgan spurlock",100,65000,11529368,"2004-01-17","Q2",1,0,1,0,1,176.374892307692,1
"744","when the bough breaks",335791,3,"jon cassar",97,1e+07,29747603,"2016-09-09","Q3",1,1,0,0,0,1.9747603,1
"745","august",86549,3,"eldar rapaport",100,3400000,12636,"2011-06-09","Q3",1,0,0,0,0,-0.996283529411765,0
"746","fair game",38363,1,"doug liman",108,5e+07,11497497,"2010-05-20","Q4",1,1,0,0,0,-0.77005006,0
"747","eastern promises",2252,1,"david cronenberg",100,5e+07,17181265,"2007-09-14","Q3",1,1,0,0,0,-0.6563747,0
"748","mother and child",37080,1,"rodrigo garcía",125,7e+06,1110509,"2009-11-07","Q2",1,0,0,0,0,-0.841355857142857,0
"749","r100",193722,3,"hitoshi matsumoto",100,5500000,24956,"2013-10-05","Q1",1,0,0,0,1,-0.995462545454545,0
"750","monsoon wedding",480,3,"mira nair",114,1200000,13876974,"2001-08-30","Q1",1,0,0,0,1,10.564145,1
"751","jane got a gun",174751,1,"gavin o connor",98,2.5e+07,1513793,"2016-01-01","Q4",1,0,0,1,0,-0.93944828,0
"752","mama",382899,3,"vlado škafar",90,1.5e+07,71628180,"2016-01-27","Q1",1,0,0,0,0,3.775212,1
"753","the birth of a nation",339408,3,"nate parker",120,110000,1e+07,"2016-09-09","Q1",1,0,0,0,0,89.9090909090909,1
"754","slither",9035,2,"james gunn",95,15250000,7802450,"2006-03-31","Q1",0,1,0,0,1,-0.488363934426229,0
"755","mooz lum",66025,1,"qasim basir",95,1500000,362239,"2011-02-11","Q1",1,0,0,0,0,-0.758507333333333,0
"756","my big fat greek wedding",8346,3,"joel zwick",95,5e+06,241438208,"2002-02-22","Q2",1,0,0,0,1,47.2876416,1
"757","my life in ruins",23049,3,"donald petrie",95,1.7e+07,8677425,"2009-02-06","Q2",1,0,0,0,1,-0.489563235294118,0
"758","the city of your final destination",42819,3,"james ivory",114,8300000,493296,"2009-03-21","Q2",1,0,0,0,0,-0.940566746987952,0
"759","warm bodies",82654,2,"jonathan levine",97,3e+07,66380662,"2013-01-31","Q1",1,1,0,0,1,1.21268873333333,1
"760","collide",195590,2,"eran creevy",98,29200000,2280004,"2016-08-04","Q3",0,1,0,1,0,-0.921917671232877,0
"761","roll bounce",14544,3,"malcolm d lee",112,1e+07,17380866,"2005-09-23","Q3",1,0,0,0,1,0.7380866,0
"762","the good thief",6016,3,"neil jordan",108,3e+07,3517797,"2003-04-03","Q2",1,1,0,0,0,-0.8827401,0
"763","the family man",5994,1,"brett ratner",125,6e+07,75764085,"2000-12-12","Q4",1,0,0,0,1,0.26273475,0
"764","knock knock",18932,3,"joseph ariola",92,2e+06,36336,"2008-03-14","Q2",0,1,0,0,0,-0.981832,0
"765","birthday girl",2084,1,"jez butterworth",93,1.3e+07,4919896,"2001-09-06","Q1",1,1,0,0,1,-0.621546461538461,0
"766","before i go to sleep",204922,1,"rowan joffe",92,2.2e+07,3242457,"2014-09-03","Q4",1,1,0,0,0,-0.852615590909091,0
"767","the hours",590,1,"stephen daldry",114,2.5e+07,41675994,"2002-12-27","Q4",1,0,0,0,0,0.66703976,0
"768","the peanuts movie",227973,3,"steve martino",88,9.9e+07,130178411,"2015-11-05","Q4",0,0,0,0,1,0.314933444444444,0
"769","lake of fire",44260,3,"tony kaye",152,6e+06,25317,"2006-09-09","Q4",0,0,1,0,0,-0.9957805,0
"770","the raven",73554,3,"ulli lommel",81,2.6e+07,16008272,"2006-11-01","Q2",0,1,0,0,0,-0.384297230769231,0
"771","cama adentro",78705,3,"jorge gaggero",83,8e+05,200433,"2004-09-21","Q3",1,0,0,0,0,-0.74945875,0
"772","cleopatra",71114,3,"eduardo mignogna",104,4.2e+07,5.7e+07,"2003-08-14","Q2",1,0,0,0,1,0.357142857142857,0
"773","the visit",70282,3,"jordan walker pearlman",107,5e+06,65206105,"2000-01-01","Q3",1,0,0,0,0,12.041221,1
"774","deliver us from evil",13364,3,"amy berg",101,3e+07,30577122,"2006-06-24","Q3",1,0,1,0,0,0.0192374,0
"775","the vatican tapes",157544,3,"mark neveldine",91,1.3e+07,1784763,"2015-07-24","Q3",0,1,0,0,0,-0.862710538461538,0
"776","drinking buddies",172533,1,"joe swanberg",90,5e+05,343706,"2013-08-23","Q3",1,0,0,0,0,-0.312588,0
"777","the lazarus effect",243940,1,"david gelb",83,5e+06,25801570,"2015-01-29","Q1",0,1,0,0,0,4.160314,1
"778","double take",18828,3,"george gallo",88,2.4e+07,29823162,"2001-01-12","Q1",1,0,0,1,1,0.24263175,0
"779","inside llewyn davis",86829,2,"joel coen",105,1.1e+07,13248209,"2013-10-06","Q4",1,0,1,0,0,0.204382636363636,0
"780","straight outta compton",277216,3,"f gary gray",147,2.8e+07,161197785,"2015-08-13","Q3",1,0,1,0,0,4.75706375,1
"781","no escape",192141,2,"john erick dowdle",103,5e+06,27288872,"2015-08-26","Q3",0,1,0,1,0,4.4577744,1
"782","the internship",116741,2,"shawn levy",119,5.8e+07,44672764,"2013-06-07","Q2",0,0,0,0,1,-0.229779931034483,0
"783","scary movie 3",4256,3,"david zucker",84,4.5e+07,110000082,"2003-10-24","Q4",0,0,0,0,1,1.44444626666667,1
"784","better luck tomorrow",14290,3,"justin lin",101,250000,3802390,"2002-01-12","Q2",1,0,0,0,0,14.20956,1
"785","cheap thrills",175291,3,"e l katz",85,1e+05,59424,"2013-03-08","Q1",1,0,0,0,1,-0.40576,0
"786","sharkwater",13894,3,"rob stewart",89,2e+06,850920,"2006-09-11","Q1",0,0,1,0,0,-0.57454,0
"787","star trek nemesis",201,1,"stuart baird",117,6e+07,43254409,"2002-12-13","Q4",0,1,0,1,1,-0.279093183333333,0
"788","the conjuring",138843,2,"james wan",112,2e+07,137400141,"2013-07-18","Q3",0,1,0,0,0,5.87000705,1
"789","insidious chapter 2",91586,2,"james wan",106,5e+06,83586447,"2013-09-12","Q3",0,1,0,0,0,15.7172894,1
"790","insidious",49018,2,"james wan",103,1500000,54009150,"2010-09-13","Q2",0,1,0,0,0,35.0061,1
"791","men with brooms",34341,3,"paul gross",102,7500000,4239767,"2002-09-20","Q1",0,0,0,0,1,-0.434697733333333,0
"792","crocodile dundee in los angeles",9290,3,"simon wincer",92,2.5e+07,25590119,"2001-04-12","Q2",0,0,0,1,1,0.02360476,0
"793","gloria",160068,3,"sebastián lelio",105,3e+07,4167493,"2013-02-10","Q1",1,0,0,0,1,-0.861083566666667,0
"794","the ten",13173,1,"david wain",96,5250000,769726,"2007-08-03","Q3",0,0,0,0,1,-0.853385523809524,0
"795","all the real girls",13132,3,"david gordon green",108,1e+06,549666,"2003-08-01","Q1",1,0,0,0,0,-0.450334,0
"796","brick mansions",254473,3,"camille delamarre",90,2.8e+07,20396829,"2014-04-22","Q2",1,0,0,1,0,-0.271541821428571,0
"797","timeline",9562,3,"richard donner",116,8e+07,19480739,"2003-11-26","Q4",0,0,0,1,1,-0.7564907625,0
"798","the good night",13501,1,"jake paltrow",93,1.5e+07,22441,"2007-01-25","Q4",1,0,1,0,1,-0.998503933333333,0
"799","elling",6007,3,"petter næss",89,2100000,313436,"2001-03-16","Q2",1,0,0,0,1,-0.850744761904762,0
"800","as above so below",256274,3,"john erick dowdle",93,5e+06,21222315,"2014-08-14","Q3",0,1,0,0,0,3.244463,1
"801","gossip",228987,3,"colin nutley",134,1.4e+07,5108820,"2000-12-24","Q2",1,0,0,0,1,-0.635084285714286,0
"802","session 9",10972,3,"brad anderson",100,1500000,378176,"2001-08-10","Q3",1,1,0,0,0,-0.747882666666667,0
"803","say uncle",123879,3,"peter paige",91,2e+06,5361,"2005-07-10","Q2",1,0,0,0,1,-0.9973195,0
"804","jonah a veggietales movie",15173,3,"phil vischer",82,1.4e+07,25571351,"2002-10-04","Q4",1,0,0,1,1,0.826525071428571,0
"805","the greatest",32395,1,"shana feste",99,6e+06,115862,"2009-01-17","Q2",1,0,0,0,0,-0.980689666666667,0
"806","the november man",254904,1,"roger donaldson",108,1.5e+07,25018119,"2014-08-27","Q3",1,1,0,1,0,0.6678746,0
"807","i t ",340677,1,"john moore",96,3.5e+07,328828874,"2016-09-09","Q3",1,1,0,0,0,8.39511068571429,1
"808","the tailor of panama",2575,1,"john boorman",109,1.8e+07,13491653,"2001-02-11","Q1",1,1,0,0,0,-0.250463722222222,0
"809","coyote ugly",6282,3,"david mcnally",100,4.5e+07,60786269,"2000-07-30","Q3",1,0,1,0,1,0.350805977777778,0
"810","war room",323272,3,"alex kendrick",120,3e+06,67790117,"2015-08-28","Q3",1,0,0,0,0,21.5967056666667,1
"811","princess kaiulani",39806,3,"marc forby",130,9e+06,883887,"2010-05-14","Q2",1,0,0,0,0,-0.901790333333333,0
"812","josie and the pussycats",19366,3,"harry elfont",98,2.2e+07,14252830,"2001-04-06","Q2",0,0,1,0,1,-0.352144090909091,0
"813","sholem aleichem laughing in the darkness",84401,3,"joseph dorman",93,5e+05,1131261,"2012-02-24","Q3",0,0,1,0,0,1.262522,1
"814","denial",402298,1,"mick jackson",109,1e+07,4073448,"2016-09-30","Q3",1,0,1,0,0,-0.5926552,0
"815","spider",9613,1,"david cronenberg",98,1e+07,1641788,"2002-12-13","Q1",1,1,0,0,0,-0.8358212,0
"816","to save a life",41144,3,"brian baugh",120,5e+05,3777210,"2009-11-05","Q1",1,0,0,0,0,6.55442,1
"817","ice age",425,3,"chris wedge",81,6.5e+07,176387405,"2002-03-10","Q1",0,0,0,1,1,1.71365238461538,1
"818","ice age the meltdown",950,3,"carlos saldanha",91,7.5e+07,195330621,"2006-03-23","Q1",0,0,0,1,1,1.60440828,1
"819","ice age dawn of the dinosaurs",8355,3,"carlos saldanha",94,9e+07,196573705,"2009-06-29","Q3",0,0,0,1,1,1.18415227777778,1
"820","femme fatale",9280,1,"brian de palma",114,3.5e+07,6630252,"2002-11-06","Q4",1,1,0,0,0,-0.810564228571429,0
"821","hot pursuit",268920,1,"anne fletcher",87,3.5e+07,34580201,"2015-05-08","Q2",1,0,0,1,1,-0.0119942571428571,0
"822","sweet home alabama",11529,1,"andy tennant",108,3.8e+07,127214072,"2002-09-26","Q3",1,0,0,0,1,2.34773873684211,1
"823","legally blonde",8835,1,"robert luketic",96,1.8e+07,96493426,"2001-07-13","Q3",0,0,0,0,1,4.36074588888889,1
"824","que horas ela volta ",310569,3,"anna muylaert",110,1200000,376976,"2015-02-08","Q2",1,0,0,0,0,-0.685853333333333,0
"825","nurse betty",10480,1,"neil labute",108,2.4e+07,25170054,"2000-09-08","Q3",1,1,0,0,1,0.04875225,0
"826","filly brown",84197,3,"michael d olmos",100,1250000,2850357,"2013-04-19","Q2",1,0,0,0,0,1.2802856,1
"827","nueve reinas",18079,3,"fabián bielinsky",114,1500000,1222889,"2000-08-31","Q2",1,1,0,0,0,-0.184740666666667,0
"828","the crew",19150,1,"michael dinner",88,2.3e+07,13019253,"2000-08-21","Q3",0,0,0,1,1,-0.43394552173913,0
"829","brigham city",26791,3,"richard dutcher",119,1e+06,852206,"2001-03-30","Q2",1,1,0,0,0,-0.147794,0
"830","the little vampire",24100,3,"uli edel",95,2.2e+07,13555988,"2000-10-27","Q4",0,1,0,0,1,-0.383818727272727,0
"831","unfaithful",2251,1,"adrian lyne",124,5e+07,52752475,"2002-05-10","Q2",1,1,0,0,0,0.0550495,0
"832","autumn in new york",10641,1,"joan chen",103,4e+07,37752931,"2000-08-11","Q3",1,0,0,0,0,-0.056176725,0
"833","arbitrage",60599,1,"nicholas jarecki",100,1.2e+07,7919574,"2012-09-14","Q3",1,1,0,0,0,-0.3400355,0
"834","recess school s out",19405,3,"chuck sheetz",83,1e+07,36696761,"2001-01-27","Q1",0,0,0,0,1,2.6696761,1
"835","step up 3d",41233,3,"jon m chu",107,3e+07,42400223,"2010-08-04","Q3",1,0,0,0,0,0.413340766666667,0
"836","trash",206563,3,"stephen daldry",112,1.2e+07,17484,"2014-10-09","Q1",1,1,0,1,1,-0.998543,0
"837","ghost town",12797,3,"david koepp",102,2e+07,13367624,"2008-09-19","Q3",1,0,0,0,1,-0.3316188,0
"838","poolhall junkies",14293,3,"mars callahan",99,4e+06,563711,"2002-06-07","Q1",1,1,0,0,1,-0.85907225,0
"839","cabin fever",11547,3,"eli roth",93,1500000,21158188,"2003-08-15","Q3",0,1,0,0,0,13.1054586666667,1
"840","the reluctant fundamentalist",121677,3,"mira nair",130,1.5e+07,528731,"2013-03-17","Q2",0,1,0,0,0,-0.964751266666667,0
"841","men of honor",11978,1,"george tillman",129,3.2e+07,48814909,"2000-09-13","Q4",1,0,0,0,0,0.52546590625,0
"842","fahrenheit 9 11",1777,1,"michael moore",122,6e+06,119114517,"2004-06-25","Q2",0,0,0,0,0,18.8524195,1
"843","hands of stone",184341,1,"jonathan jakubowicz",105,2e+07,4712792,"2016-08-26","Q3",1,0,0,0,0,-0.7643604,0
"844","city by the sea",13536,1,"michael caton jones",108,4e+07,22433915,"2002-09-06","Q3",1,1,0,0,0,-0.439152125,0
"845","15 minutes",2749,1,"john herzfeld",120,4.2e+07,24375436,"2001-03-01","Q1",1,1,0,1,0,-0.419632476190476,0
"846","the singing detective",30141,3,"keith gordon",109,8e+06,336456,"2003-10-24","Q4",1,1,1,0,1,-0.957943,0
"847","freddy vs jason",6466,2,"ronny yu",97,2.5e+07,82622655,"2003-08-15","Q3",0,1,0,0,0,2.3049062,1
"848","down terrace",42151,3,"ben wheatley",89,30000,9812,"2009-09-01","Q4",1,0,0,1,1,-0.672933333333333,0
"849","pinocchio",10599,3,"roberto benigni",108,2289247,84300000,"2002-12-25","Q1",0,0,0,0,1,35.8243356876737,1
