"","X","original_title","id","release_date","Actor","Director","actorMovieCount","directorMovieCount","runtime","ProductionBudget","DomesticGross","quarter","animation","comedy","family","adventure","fantasy","romance","drama","action","crime","thriller","horror","history","mystery","war","music","documentary","western","holidays","success_1_to_1"
"82",1065,"lost souls",10383,2000-10-13,"winonaryder","januszkaminski",0,0,97,2.8e+07,16779636,"Q4",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
"83",1745,"the contender",6521,2000-10-13,"garyoldman","rodlurie",0,0,126,9e+06,17804273,"Q4",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
"84",1900,"the ladies man",16888,2000-10-13,"timmeadows","reginaldhudlin",0,0,84,1.1e+07,13592872,"Q4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"85",220,"bedazzled",1636,2000-10-19,"elizabethhurley","haroldramis",0,0,93,4.8e+07,37879996,"Q4",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"86",1922,"the little vampire",24100,2000-10-27,"richardegrant","uliedel",0,0,95,2.2e+07,13555988,"Q4",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
"87",1129,"mercy streets",26916,2000-10-31,"ericroberts","jongunn",0,1,106,6e+05,173599,"Q4",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0
"88",370,"charlie s angels",4327,2000-11-02,"camerondiaz","mcg",1,1,98,9e+07,125305545,"Q4",0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,2,1
"89",1042,"little nicky",9678,2000-11-10,"adamsandler","stevenbrill",6,0,90,8e+07,39442871,"Q4",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0
"90",2315,"you can count on me",14295,2000-11-17,"lauralinney","kennethlonergan",0,1,111,1200000,9180275,"Q4",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"91",1293,"panic",20637,2000-12-01,"williamhmacy","henrybromell",1,0,88,1e+06,779137,"Q4",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0
"92",2231,"vertical limit",11678,2000-12-08,"chrisodonnell","martincampbell",0,0,124,7.5e+07,68473360,"Q4",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0
"93",1773,"the emperor s new groove",11688,2000-12-09,"davidspade","markdindal",1,0,78,1e+08,89296573,"Q4",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"94",86,"all the pretty horses",21355,2000-12-11,"mattdamon","billybobthornton",3,0,117,4.5e+07,15527125,"Q4",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,0
"95",1782,"the family man",5994,2000-12-12,"nicolascage","brettratner",4,1,125,6e+07,75764085,"Q4",0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,1
"96",1154,"miss congeniality",1493,2000-12-14,"sandrabullock","donaldpetrie",3,1,111,4.5e+07,106807667,"Q4",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1
"97",2269,"what women want",3981,2000-12-15,"helenhunt","nancymeyers",0,0,127,6.5e+07,182805123,"Q4",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1
"98",747,"gossip",228987,2000-12-24,"pernillaaugust","colinnutley",0,0,134,1.4e+07,5108820,"Q2",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0
"99",2158,"traffic",1900,2000-12-27,"michaeldouglas","stevensoderbergh",1,4,147,4.8e+07,124107476,"Q4",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,1
"100",786,"harvard man",27451,2001-01-01,"sarahmichellegellar","jamestoback",0,0,99,5500000,56653,"Q2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
"101",904,"invincible",68569,2001-01-01,"timroth","wernerherzog",1,1,90,4e+07,57806952,"Q3",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1
"102",2160,"trance",188832,2001-01-01,"samcallis","joeahearne",0,0,100,1.6e+07,2322593,"Q1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
"103",2012,"the pledge",5955,2001-01-09,"jacknicholson","seanpenn",1,0,123,4.5e+07,19719930,"Q1",0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0
"104",133,"antitrust",9989,2001-01-12,"ryanphillippe","peterhowitt",0,0,108,3e+07,10965209,"Q1",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
"105",533,"double take",18828,2001-01-12,"orlandojones","georgegallo",0,1,88,2.4e+07,29823162,"Q1",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1
"106",1472,"save the last dance",9816,2001-01-12,"juliastiles","thomascarter",1,1,112,1.3e+07,91038276,"Q1",0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1
"107",528,"donnie darko",141,2001-01-18,"jakegyllenhaal","richardkelly",1,0,113,4500000,1480006,"Q4",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"108",1642,"super troopers",39939,2001-01-18,"jaychandrasekhar","jaychandrasekhar",0,0,100,1200000,18492362,"Q1",0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
"109",1728,"the business of strangers",31064,2001-01-19,"juliastiles","patrickstettner",0,0,84,6e+06,1030920,"Q4",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"110",1734,"the caveman s valentine",25208,2001-01-19,"samuelljackson","kasilemmons",2,1,105,13500000,687081,"Q1",0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
"111",1760,"the deep end",24936,2001-01-21,"tildaswinton","scottmcgehee",0,0,101,3e+06,8823109,"Q3",0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,1
"112",1087,"madison",38717,2001-01-23,"jimcaviezel","williambindley",1,0,99,15500000,517262,"Q2",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0
