"","original_title","id","release_date","Actor","actorMovieCount","runtime","ProductionBudget","DomesticGross","quarter","animation","comedy","family","adventure","fantasy","romance","drama","action","crime","thriller","horror","history","mystery","war","music","documentary","western","scifi"
"1407","remember the titans","10637",2000-09-29,"denzelwashington",9,113,3e+07,115654751,"Q3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"702","george washington","18292",2000-10-01,"candaceevanofski",1,89,42000,241816,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"194","bamboozled","24664",2000-10-06,"damonwayans",1,135,1e+07,2185266,"Q4",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1121","meet the parents","1597",2000-10-06,"benstiller",6,108,5.5e+07,166225040,"Q4",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1308","peter pan","273106",2000-10-10,"cathyrigby",1,104,1e+08,48417850,"Q4",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"1122","memento","77",2000-10-11,"guypearce",1,113,5e+06,25544867,"Q1",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"1301","pay it forward","10647",2000-10-12,"kevinspacey",4,122,4e+07,33508922,"Q4",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"1065","lost souls","10383",2000-10-13,"winonaryder",3,97,2.8e+07,16779636,"Q4",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"1745","the contender","6521",2000-10-13,"garyoldman",3,126,9e+06,17804273,"Q4",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"1900","the ladies man","16888",2000-10-13,"timmeadows",1,84,1.1e+07,13592872,"Q4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"220","bedazzled","1636",2000-10-19,"elizabethhurley",1,93,4.8e+07,37879996,"Q4",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"1922","the little vampire","24100",2000-10-27,"richardegrant",1,95,2.2e+07,13555988,"Q4",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1129","mercy streets","26916",2000-10-31,"ericroberts",1,106,6e+05,173599,"Q4",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"370","charlie s angels","4327",2000-11-02,"camerondiaz",2,98,9e+07,125305545,"Q4",0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"1042","little nicky","9678",2000-11-10,"adamsandler",9,90,8e+07,39442871,"Q4",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"2315","you can count on me","14295",2000-11-17,"lauralinney",1,111,1200000,9180275,"Q4",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"1293","panic","20637",2000-12-01,"williamhmacy",2,88,1e+06,779137,"Q4",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"2231","vertical limit","11678",2000-12-08,"chrisodonnell",2,124,7.5e+07,68473360,"Q4",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"1773","the emperor s new groove","11688",2000-12-09,"davidspade",2,78,1e+08,89296573,"Q4",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
