"","success_1_to_1","id","original_title","release_date","Actor","Director","actorMovieCount","directorMovieCount","runtime","ProductionBudget","DomesticGross","quarter","animation","comedy","family","adventure","fantasy","romance","drama","action","crime","thriller","horror","history","mystery","war","music","documentary","western","holidays","New.Year.s.Day","Martin.Luther.King.Jr..Day","Valentine.s.Day","Presidents..Day","Good.Friday","Mother.s.Day","Memorial.Day","Father.s.Day","Independence.Day","Labor.Day","Columbus.Day","Veterans.Day","Thanksgiving.Day","Christmas.Eve","Christmas.Day","Independence.Day.observed","Christmas.Day.observed","New.Year.s.Day.observed","Christmas.Eve.observed","Veterans.Day.observed","related_holiday"
"697",0,76640,"the last stand","2013-01-12","arnoldschwarzenegger","kimjeewoon",1,0,107,3e+07,12050299,"Q1",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"698",0,76649,"pompeii","2014-02-18","kitharington","paulwsanderson",0,1,105,8e+07,23169033,"Q1",0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Presidents' Day"
"699",1,77332,"urbania","2000-01-24","danfutterman","jonmatthews",0,0,103,225000,1032075,"Q3",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"700",1,77930,"magic mike","2012-06-28","channingtatum","stevensoderbergh",1,0,110,7e+06,113721571,"Q2",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"701",0,77931,"the smurfs 2","2013-07-30","hankazaria","rajagosnell",0,0,105,1.1e+08,71017784,"Q3",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"702",0,77951,"walking with dinosaurs","2013-12-18","charlierowe","neilnightingale",0,0,87,8e+07,36076121,"Q4",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"703",0,78307,"on the outs","2004-09-11","judymarte","lorisilverbush",0,0,86,250000,49772,"Q3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"704",0,78705,"cama adentro","2004-09-21","normaaleandro","jorgegaggero",0,0,83,8e+05,200433,"Q3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"705",1,79120,"weekend","2011-09-22","tomcullen","andrewhaigh",0,0,96,190000,484592,"Q3",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"706",0,79161,"51 birch street","2006-10-18","carolblock","dougblock",0,0,90,350000,84689,"Q4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"707",1,79896,"the revenant","2009-08-16","chriswylde","dkerryprior",0,0,110,1.35e+08,183637894,"Q4",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"708",1,80215,"indie game the movie","2012-05-18","jonathanblow","lisannepajot",0,0,96,1e+05,34513500.7541806,"Q2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"709",0,80585,"rock of ages","2012-06-13","juliannehough","adamshankman",0,0,123,7e+07,38518613,"Q2",0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"710",0,80709,"the borrowers","2011-12-25","christophereccleston","tomharper",0,0,90,2.9e+07,22619589,"Q1",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,"Christmas Eve observed"
"711",1,81220,"everything put together","2001-11-02","radhamitchell","marcforster",0,0,87,5e+05,34513500.7541806,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"712",0,81438,"deck the halls","2011-12-20","scottiethompson","ronunderwood",0,0,88,5.1e+07,35093569,"Q4",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Christmas Eve observed"
"713",0,81836,"to rome with love","2012-04-20","woodyallen","woodyallen",0,1,111,21500000,16684352,"Q2",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"714",0,82495,"gamer","2001-03-21","saïdtaghmaoui","patricklevis",0,0,102.936454849498,5e+07,20534907,"Q3",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"715",0,82533,"damsels in distress","2012-04-06","gretagerwig","whitstillman",1,0,99,3e+06,1007535,"Q2",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Good Friday"
"716",1,82654,"warm bodies","2013-01-31","nicholashoult","jonathanlevine",1,0,97,3e+07,66380662,"Q1",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"717",1,82675,"taken 2","2012-09-27","liamneeson","oliviermegaton",2,0,91,4.5e+07,139854287,"Q3",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"718",0,82682,"gangster squad","2013-01-10","joshbrolin","rubenfleischer",2,0,113,6e+07,46000903,"Q1",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"719",0,82684,"chasing mavericks","2012-10-25","gerardbutler","curtishanson",1,0,117,2e+07,6002756,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"720",1,82690,"wreck it ralph","2012-11-01","johncreilly","richmoore",0,0,108,1.65e+08,189412677,"Q4",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
